studentID,firstName,middleName,lastName,gender,homePhoneNumber,mobileNumber,emailAddress,note
1111110,Zahir,,Prince,M,,534138646,sodales.at.velit@dapibus.ca,
1111111,Frances,,Slater,F,,907 538 4686,rutrum.justo.Praesent@tortornibh.co.uk,
1111112,Lester,,Mayer,X,,665 451 0322,est.arcu.ac@metusIn.com,
1111113,Britanney,,English,M,,513 793 0200,a@Cumsociisnatoque.co.uk,
1111114,Norman,,Buchanan,F,,477 259 6716,ac.libero@maurissapiencursus.ca,
1111115,Leah,,Hurst,X,,024 437 8808,netus.et@nonsollicitudina.com,
1111116,Wylie,,Osborne,M,,563 320 1141,arcu.Sed.eu@Sedmalesuadaaugue.org,
1111117,Amal,,Tanner,F,,761 851 4461,id@sitametrisus.org,
1111118,Owen,,Lawson,X,,721 188 5083,mollis@ullamcorpervelit.co.uk,
1111119,Sarah,,Blankenship,M,,343 565 6738,varius.orci@Nunc.edu,
1111120,Yardley,,Stone,F,,017 270 9516,non.nisi@semNullainterdum.com,
1111121,Lavinia,,Rogers,X,,372 172 0707,turpis.In.condimentum@vestibulumneceuismod.net,
1111122,Ross,,Goodwin,M,,141 998 6831,urna.convallis@varius.org,
1111123,Hedy,,Hartman,F,,953 357 5698,purus.in@blanditat.ca,
1111124,Charlotte,,Delaney,X,,532 330 4942,ut.mi.Duis@orciadipiscingnon.net,
1111125,Althea,,Hester,M,,540 012 6616,amet.dapibus@placeratorci.co.uk,
1111126,Dahlia,,Webb,F,,176 282 2176,massa.Vestibulum@feugiatplacerat.com,
1111127,Rana,,Livingston,X,,152 294 2639,Phasellus@vulputateeu.net,
1111128,Karleigh,,Dudley,M,,458 282 9275,velit.eu@Nullaegetmetus.org,
1111129,Stacey,,Hale,F,,609 623 3518,semper@tellus.org,
1111130,Kitra,,Robles,X,,900 209 0042,pede.blandit@ornarelibero.net,
1111131,Shannon,,Mathews,M,,449 568 5292,arcu.Curabitur.ut@nunc.org,
1111132,Owen,,Pickett,F,,404 098 8013,Aliquam.auctor.velit@CurabiturdictumPhasellus.org,
1111133,Jackson,,Sampson,X,,028 901 6468,Mauris.molestie.pharetra@atlacusQuisque.ca,
1111134,Ella,,Wagner,M,,934 138 6173,urna.convallis.erat@ametante.ca,
1111135,Ray,,Garner,F,,184 123 2350,convallis.ligula@ultriciesligulaNullam.org,
1111136,Patrick,,Olsen,X,,093 220 4776,et@Sedcongue.ca,
